part_id,session_n,vhq_1,vhq_2,vhq_3,vhq_4,vhq_5,vhq_6,vhq_7,vhq_8,vhq_9,vhq_10,vhq_11,vhq_12,vhq_13,vhq_14,vhq_15,vhq_16,vhq_17,vhq_18,vhq_19,vhq_20,vhq_21,exp4_engagement_1,exp4_pleasure_1,exp4_discomfort_1,exp4_arousal_1,block,stage,exp_dim_session_1,exp_dim_session_2,exp_strobe
11318,3,4,4,4,3,3,3,3,3,3,2,2,1,2,2,2,3,2,3,2,5,,29,22,0,5,1,1,,,
11318,1,2,2,4,4,4,3,3,3,3,2,2,1,1,2,1,2,3,2,1,5,,26,27,1,24,1,2,2,1,
11318,2,5,4,4,2,2,3,2,3,2,2,3,5,1,3,3,2,3,2,3,4,,10,16,1,4,2,1,,,
11318,4,4,4,4,1,2,3,3,3,3,2,2,2,2,3,2,2,3,2,2,5,,24,32,0,31,2,2,2,1,2
11229,4,5,5,5,2,3,2,4,4,4,1,1,1,5,4,4,1,5,3,1,5,,100,61,71,62,1,1,,,
11229,2,5,2,5,2,1,1,3,4,4,3,2,4,3,4,4,1,4,2,1,5,,72,89,18,39,1,2,1,2,
11229,3,5,5,5,1,2,1,5,4,5,1,1,1,5,4,3,2,4,1,1,5,,93,72,20,53,2,1,,,
11229,1,5,3,5,1,1,1,4,5,3,2,3,4,3,4,3,1,5,1,1,5,,82,50,31,72,2,2,1,2,1
11387,3,5,5,5,1,2,2,4,5,4,1,1,1,2,2,1,2,5,2,1,5,,97,98,0,0,1,1,,,
11387,1,1,1,2,1,1,1,1,1,1,3,3,3,2,4,3,1,4,1,1,5,,46,46,0,0,1,2,1,2,
11387,2,2,2,2,1,1,1,1,1,1,2,2,4,3,3,3,1,4,1,1,5,,60,49,0,0,2,1,,,
11387,4,4,4,5,1,1,2,4,4,3,2,1,2,2,3,2,1,5,2,1,5,,87,82,0,0,2,2,2,1,1
11280,3,4,4,5,1,1,2,4,4,4,4,3,2,5,5,4,1,5,1,1,5,,82,70,25,14,1,1,,,
11280,1,3,2,2,1,1,1,2,1,1,5,5,5,2,3,4,1,4,1,1,5,,87,79,12,19,1,2,1,2,
11280,2,2,2,3,1,1,1,1,1,2,5,5,5,2,2,4,3,3,3,1,5,,81,79,6,15,2,1,,,
11280,4,4,4,5,4,4,4,5,5,5,1,1,2,3,2,3,5,1,4,1,5,,86,78,24,1,2,2,2,1,2
11182,3,4,5,5,3,2,2,4,3,3,4,1,3,4,3,2,2,2,3,1,5,,82,25,50,20,1,1,,,
11182,1,1,1,2,1,1,1,1,1,4,4,4,4,2,4,5,1,4,1,1,5,,4,6,9,50,1,2,2,1,
11182,4,5,5,5,3,2,4,5,4,3,4,3,2,4,3,2,2,4,3,1,5,,83,31,14,55,2,1,,,
11182,2,1,1,3,1,1,1,1,1,2,3,4,5,3,2,4,1,4,1,1,5,,9,22,5,72,2,2,1,2,2
